name,visibility,description,WKT


"пер. 12 фестиваля МС","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 12 фестиваля МС</font></h2></th></tr><tr><th>Категория сложности</th><td>2Б</td></tr><tr><th>Высота</th><td>3850</td></tr><tr><th>Характер склонов</th><td>сн-лд</td></tr><tr><th>Соединяет</th><td>р.Скилири (р.Цхеледула, р.Цхенисцкали) - р.Лайлачала (р.Ингури)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;55'&nbsp;&nbsp;&nbsp;3.12'' N<br />42&deg;&nbsp;33'&nbsp;19.98'' E</td></tr><tr><th>Описаний</th><td>1 с фото</td></tr><tr><th>Номер</th><td>12483</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/12483'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.55555 42.917533 0)"
"пер. 300 лет Российскому Флоту","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 300 лет Российскому Флоту</font></h2></th></tr><tr><th>Категория сложности</th><td>2Б*</td></tr><tr><th>Высота</th><td>3650</td></tr><tr><th>Характер склонов</th><td>сн-лд</td></tr><tr><th>Соединяет</th><td>р.Кичкинекол (р.Индрюкой, р.Гондарай, р.Махар) - ледн.Гвандра Зап., р.Актебе (р.Индрюкой, р.Гондарай, р.Махар)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;12'&nbsp;33.55'' N<br />42&deg;&nbsp;&nbsp;&nbsp;4'&nbsp;27.19'' E</td></tr><tr><th>Описаний</th><td>1 техническое,  с фото</td></tr><tr><th>Номер</th><td>3593</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3593'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.07422 43.20932 0)"
"пер. 50 лет СОАССР","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 50 лет СОАССР</font></h2></th></tr><tr><th>Категория сложности</th><td>2Б</td></tr><tr><th>Высота</th><td>3653</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;42'&nbsp;18.24'' N<br />44&deg;&nbsp;&nbsp;&nbsp;8'&nbsp;12.33'' E</td></tr><tr><th>Номер</th><td>8676</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/8676'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (44.1367596803 42.7050654678 0)"
"пер. Moondark","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Moondark</font></h2></th></tr><tr><th>Другие названия</th><td>Луноход, Мунадак</td></tr><tr><th>Категория сложности</th><td>2Б*</td></tr><tr><th>Высота</th><td>3963</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;14'&nbsp;40.7'' N<br />42&deg;&nbsp;53'&nbsp;39.75'' E</td></tr><tr><th>Описаний</th><td>1 техническое,  с фото</td></tr><tr><th>Номер</th><td>22</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/22'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.89437498779999 43.2446394525 0)"
"пер. Акбек Западный","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Акбек Западный</font></h2></th></tr><tr><th>Другие названия</th><td>Агбек Западный</td></tr><tr><th>Категория сложности</th><td>2Б</td></tr><tr><th>Высота</th><td>3500</td></tr><tr><th>Характер склонов</th><td>лд-ск</td></tr><tr><th>Соединяет</th><td>ледн.Джугутурлючат Вост., р.Домбай-Ельген - ледн.Акбек, р.Ацапш-Ацгара</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;13'&nbsp;59.04'' N<br />41&deg;&nbsp;39'&nbsp;56.42'' E</td></tr><tr><th>Описаний</th><td>3, в т.ч. 2 технических, 1 с фото</td></tr><tr><th>Номер</th><td>3490</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3490'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.665672222222 43.233066666667 0)"
"пер. Аксаут Восточный","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аксаут Восточный</font></h2></th></tr><tr><th>Другие названия</th><td>Аксаут Малый</td></tr><tr><th>Категория сложности</th><td>2Б</td></tr><tr><th>Высота</th><td>3400</td></tr><tr><th>Характер склонов</th><td>лд-ск</td></tr><tr><th>Соединяет</th><td>ледн.Джалаучат, р.Джалаучат (р.Аксаут) - р.Чхалта</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;18'&nbsp;&nbsp;&nbsp;0.25'' N<br />41&deg;&nbsp;28'&nbsp;11.06'' E</td></tr><tr><th>Описаний</th><td>2, в т.ч. 1 техническое, 1 с фото</td></tr><tr><th>Номер</th><td>3476</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3476'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.46974 43.30007 0)"
"пер. Атсыз","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Атсыз</font></h2></th></tr><tr><th>Другие названия</th><td>Шаурсал</td></tr><tr><th>Категория сложности</th><td>2Б</td></tr><tr><th>Высота</th><td>4050</td></tr><tr><th>Характер склонов</th><td>сн-лд-ск</td></tr><tr><th>Соединяет</th><td>лед.Шаурту - лед.Салы-нанчиран (лед.Безенги). Между в.Атсыз и в.Шаурту</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;&nbsp;&nbsp;5'&nbsp;55.46'' N<br />43&deg;&nbsp;&nbsp;&nbsp;4'&nbsp;&nbsp;&nbsp;3.32'' E</td></tr><tr><th>Описаний</th><td>5, в т.ч. 5 технических, 1 с фото</td></tr><tr><th>Номер</th><td>345</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/345'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (43.06759 43.09874 0)"
"пер. Бадорку","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Бадорку</font></h2></th></tr><tr><th>Другие названия</th><td>Бодорку</td></tr><tr><th>Категория сложности</th><td>2Б</td></tr><tr><th>Высота</th><td>3990</td></tr><tr><th>Характер склонов</th><td>лд</td></tr><tr><th>Соединяет</th><td>лед.Ю.Чат (лед.Кулак) - лед.Башиль. Две седловины - Бодорку и Бодорку северный.</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;&nbsp;&nbsp;9'&nbsp;12.64'' N<br />42&deg;&nbsp;55'&nbsp;54.26'' E</td></tr><tr><th>Описаний</th><td>26, в т.ч. 25 технических, 19 с фото</td></tr><tr><th>Номер</th><td>3709</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3709'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.93174 43.15351 0)"
