name,visibility,description,WKT


"пер. 40-летия Победы","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 40-летия Победы</font></h2></th></tr><tr><th>Категория сложности</th><td>3А</td></tr><tr><th>Высота</th><td>4049</td></tr><tr><th>Характер склонов</th><td>ск-сн-лд</td></tr><tr><th>Соединяет</th><td>ледн.Доносский (вост.ветвь), ПП р.Данейламхи (р.Шароаргун) - ЛП р.Харгабахк (р.Хуландойахк, р.Шароаргун)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;30'&nbsp;27.74'' N<br />45&deg;&nbsp;41'&nbsp;32.14'' E</td></tr><tr><th>Описаний</th><td>1 техническое</td></tr><tr><th>Номер</th><td>2471</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2471'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (45.692261666667 42.507706666667 0)"
"пер. 40-летия Победы","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 40-летия Победы</font></h2></th></tr><tr><th>Категория сложности</th><td>3А</td></tr><tr><th>Высота</th><td>3400</td></tr><tr><th>Характер склонов</th><td>лд-ск</td></tr><tr><th>Соединяет</th><td>ледн.Алибек, р.Алибек - р.Чхалта</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;16'&nbsp;18.8'' N<br />41&deg;&nbsp;32'&nbsp;&nbsp;&nbsp;0.82'' E</td></tr><tr><th>Описаний</th><td>1 техническое</td></tr><tr><th>Номер</th><td>3482</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3482'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.53356 43.27189 0)"
"пер. 50 лет ВЛКСМ","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 50 лет ВЛКСМ</font></h2></th></tr><tr><th>Другие названия</th><td>Суган 2</td></tr><tr><th>Категория сложности</th><td>3А</td></tr><tr><th>Высота</th><td>4348</td></tr><tr><th>Характер склонов</th><td>сн-лд</td></tr><tr><th>Соединяет</th><td>Вост.ветвь ледн.Суган Сев., р.Псыгансу - ледн.Доппах, р.Орсдон (р.Урух)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;58'&nbsp;34.26'' N<br />43&deg;&nbsp;26'&nbsp;55.32'' E</td></tr><tr><th>Описаний</th><td>12, в т.ч. 11 технических, 9 с фото</td></tr><tr><th>Номер</th><td>3861</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3861'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (43.4487 42.976183333333 0)"
"пер. 60 лет ЧИАССР","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 60 лет ЧИАССР</font></h2></th></tr><tr><th>Другие названия</th><td>Братьев Газдановых</td></tr><tr><th>Категория сложности</th><td>3А</td></tr><tr><th>Высота</th><td>3950</td></tr><tr><th>Характер склонов</th><td>ск-ос-сн-лд</td></tr><tr><th>Соединяет</th><td>р.Кистинка (р.Терек) - р.Шандон (р.Армхи, р.Терек)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;41'&nbsp;&nbsp;&nbsp;4.76'' N<br />44&deg;&nbsp;45'&nbsp;&nbsp;&nbsp;1.46'' E</td></tr><tr><th>Номер</th><td>2340</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2340'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (44.750405 42.684655 0)"
"пер. Айлама","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Айлама</font></h2></th></tr><tr><th>Категория сложности</th><td>3А</td></tr><tr><th>Высота</th><td>4000</td></tr><tr><th>Характер склонов</th><td>лд-ск</td></tr><tr><th>Соединяет</th><td>ледн.Айлама (ледн.Дыхсу (Дых-Котю-Бугой)), р.Дыхсу (р.Черек Балкарский) - ледн.Зесхо, р.Зесхо (р.Цхенисцкали)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;55'&nbsp;48.9'' N<br />43&deg;&nbsp;12'&nbsp;21.56'' E</td></tr><tr><th>Номер</th><td>3718</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3718'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (43.20599 42.93025 0)"
"пер. Акбек Восточный","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Акбек Восточный</font></h2></th></tr><tr><th>Другие названия</th><td>Агбек Восточный</td></tr><tr><th>Категория сложности</th><td>3А</td></tr><tr><th>Высота</th><td>3395</td></tr><tr><th>Характер склонов</th><td>лд-ск</td></tr><tr><th>Соединяет</th><td>ледн.Птыш, р.Домбай-Ельген - ледн.Акбек, р.Ацапш-Ацгара</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;13'&nbsp;19.45'' N<br />41&deg;&nbsp;40'&nbsp;48.4'' E</td></tr><tr><th>Описаний</th><td>3, в т.ч. 2 технических, 2 с фото</td></tr><tr><th>Номер</th><td>3492</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3492'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.68011 43.22207 0)"
"пер. Алан","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Алан</font></h2></th></tr><tr><th>Категория сложности</th><td>3А*</td></tr><tr><th>Высота</th><td>4522</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>лед.Средн.Суатиси - лед.В.Суатиси</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;42'&nbsp;58.9'' N<br />44&deg;&nbsp;25'&nbsp;14.35'' E</td></tr><tr><th>Описаний</th><td>4, в т.ч. 4 технических, 1 с фото</td></tr><tr><th>Номер</th><td>3975</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3975'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (44.4206539339 42.7163603031 0)"
"пер. Алан Ю.","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Алан Ю.</font></h2></th></tr><tr><th>Категория сложности</th><td>3А*</td></tr><tr><th>Высота</th><td>4400</td></tr><tr><th>Характер склонов</th><td>сн-лд-ск</td></tr><tr><th>Соединяет</th><td>лед.Средн.Суатиси - лед.В.Суатиси</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;42'&nbsp;42.63'' N<br />44&deg;&nbsp;25'&nbsp;16.71'' E</td></tr><tr><th>Описаний</th><td>2 технических</td></tr><tr><th>Номер</th><td>3976</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3976'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (44.42130900919999 42.711842655 0)"
